Rat ID,Lesion Classified as,Acq-Ing,Acq-Avs,Ret-Ing,Ret-Avs,TBT-24hr,TBT-48hr
F69,sham,193.972343,155.38828,340,26,2.285714286,2.771362587
F73,sham,477.59748,36.58136,406.3891366,9.86420754,3.901437372,60.05490734
F82,sham,230.2222222,22.66666666,260,34,91.09947644,83.72456964
F91,sham,425,0,255,21,5.778894472,6.951026856
F93,sham,651,0,391,23,87.79874214,90.76819407
R41,sham,208.9028621,66.72766696,148.2254211,40.27506547,4.761904762,21.15
R45,sham,443,62,487.7721294,22.66477071,32.46753247,45.66
R54,sham,88.03658747,9.20711059,204.1737592,7.040474456,6.382978723,23.89
R63,sham,114,81,78.58101411,42.58101411,5.714285714,64.22
R74,sham,321,112,359,56,65.11627907,85.32
R80,sham,197,61,26,61,11.9047619,19.32
F75,IC2,398,22,420.7888606,0,53.55191257,42.17877095
F79,IC2,325.7796853,36.29184549,450,9,4.554865424,3.278688525
F83,IC2,149.4328485,88.2198139,142.3012731,53.15582362,4.435483871,4.21686747
R43,IC2,597,9,414,28,75.75757576,92.11
R48,IC2,372.4536902,142.903617,276,106,3.076923077,38.85
R51,IC2,205,33,419,14,11.53846154,8.33
R35,IC3,363,56,311,11,5.555555556,64.62
R37,IC3,80.08887084,106.6347377,221.669295,61.40316096,6.25,31.43
R49,IC3,320,12.80216043,495,7,16.66666667,72.44
R38,IC2+IC3,246.6619797,33.88263957,33.51679801,43.99668187,85.18518519,93.3
R40,IC2+IC3,656.6589717,16.36935992,468,27,94.11764706,96.95
R42,IC2+IC3,625,0,418,43,83.33333333,85.57
R46,IC2+IC3,677,2,465,2,96.92307692,97.5
R47,IC2+IC3,379.232195,19.94232868,365.8695531,3,9.090909091,70.54
R50,IC2+IC3,242.8432872,101.1082181,164.0410697,104.9493792,14.81481481,11.67
R53,IC2+IC3,178,54,417,5,96.21212121,97.13
F74,IC2+IC3,683,0,291,17,85.27336861,93.1927488
F76,IC2+IC3,231.91608,6,136.2421525,12.7264574,16.23376623,24.89568846
F89,IC2+IC3,563.2881,2,455,0,95.81673307,97.1950424
F90,IC2+IC3,377,39,329.815435,2,9.259259259,9.369024857
F92,IC2+IC3,679.522644,0,523.6666667,0,44.30379747,74.01574803
F95,IC2+IC3,605,0,432.8571429,0,93.56725146,96.12021858
